,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction
YPR026W,1,2.0,10.0
YPR089W,1,1.0,22.0
YJR064W,1,7.0,112.0
AT4G16360,1,,
AT5G21170,1,,
YPR167C,1,5.0,26.0
AT3G01090,1,,
AT3G29160,1,,
YIL133C,193,3.0,39.0
YNL069C,14,3.0,38.0
YOR031W,3,15.0,101.0
YBL081W,1,2.0,25.0
YMR070W,2,20.0,106.0
YBR016W,1,,5.0
YPR042C,3,2.0,2.0
YOR197W,155,3.0,16.0
YPR022C,1,7.0,19.0
YFL010C,1,2.0,34.0
YGL215W,8,4.0,79.0
YKR016W,240,4.0,82.0
YDR194C,1,6.0,26.0
ETG1111,1,,
YHL023C,7,10.0,96.0
YJL167W,5,1.0,16.0
YIL146C,6,7.0,32.0
AT1G27310,1,,
AT1G27970,1,,
YNL119W,6,2.0,59.0
YGL211W,4,7.0,129.0
YOL122C,1,4.0,11.0
YGR055W,4,5.0,53.0
YNL014W,2,,9.0
RP11-27I1.5,4,,
YJR134C,5,9.0,25.0
YGR241C,21,,9.0
YDR459C,1,1.0,11.0
YDR481C,3,2.0,10.0
YLR073C,2,1.0,4.0
YOL071W,1,3.0,22.0
ETG1452,2,,
YCR094W,2,93.0,289.0
YJR025C,2,4.0,22.0
YDL224C,1,7.0,12.0
ETG10923,1,,
YBR295W,2,2.0,18.0
YOR165W,3,12.0,50.0
ETG6252,1,,
YJL088W,1,,
YPL005W,2,4.0,28.0
YKR028W,1,22.0,52.0
YBL080C,2,14.0,36.0
ETG3622,3,,
YCL057W,2,,
YPL052W,1,,3.0
b2592,27,,
YKL086W,3,2.0,32.0
YJR048W,4,9.0,56.0
YNL036W,1,4.0,60.0
RP5-875J14.1,2,,
Q0045,16,,
YPL172C,1,23.0,167.0
YMR212C,1,,
YNL054W,1,77.0,269.0
YER051W,2,,2.0
YHR199C-A,3,5.0,43.0
ETG4292,5,,
YDR014W,4,12.0,101.0
ETG396422,1,,
YDL123W,4,,9.0
YOL086C,2,1.0,7.0
YLR303W,1,1.0,32.0
YLR259C,4,17.0,207.0
YKR065C,3,15.0,63.0
YJL198W,5,7.0,21.0
HSPC075,2,,
YLR133W,2,8.0,52.0
YBR172C,17,,10.0
YBL018C,3,19.0,3.0
YGL119W,28,18.0,65.0
YOR084W,1,1.0,19.0
YDR329C,3,4.0,45.0
YLR323C,3,42.0,284.0
YMR115W,3,7.0,66.0
YDL010W,1,,10.0
YBR014C,1,2.0,13.0
ETG131118,1,,
YHR065C,4,,1.0
YCR089W,1,1.0,12.0
YPL017C,4,2.0,81.0
YNL024C-A,1,,
YDR367W,7,1.0,4.0
YDL191W,5,,
YDL136W,1,2.0,23.0
YDL217C,2,53.0,228.0
YGR171C,1,3.0,1.0
YNL279W,1,,7.0
YLR167W,3,,
CGI-136,1,,
ETG6396,1,,
YHR036W,5,153.0,390.0
AT5G44740,1,,
ETG375,1,,
YKR095W-A,3,,
YBL059C-A,1,16.0,84.0
YKL137W,1,3.0,53.0
YDL081C,3,,
YDL130W,4,9.0,81.0
YDR382W,5,4.0,55.0
YBR015C,5,7.0,122.0
YOR287C,20,,
YKL065C,7,,22.0
YGL055W,3,13.0,128.0
YKR006C,3,2.0,28.0
YBR185C,42,,12.0
AT1G78870,1,,
AT1G16890,1,,
ETG7486,1,,
YBL009W,9,32.0,111.0
YKR021W,10,,
YER167W,11,4.0,101.0
YML111W,77,3.0,30.0
YGR109C,6,3.0,18.0
YKL001C,2,4.0,37.0
YJR144W,8,43.0,156.0
YDL079C,10,8.0,26.0
YBR093C,5,5.0,22.0
YIL042C,2,1.0,22.0
YKL198C,12,4.0,60.0
YBR028C,10,2.0,29.0
YPL109C,4,7.0,78.0
YPR115W,9,1.0,17.0
YER065C,4,8.0,32.0
YJR117W,1,9.0,140.0
YLL023C,22,8.0,53.0
ETG84313,2,,
ETG11267,4,,
CGI-145,1,,
YOL083W,4,5.0,25.0
YDR412W,105,13.0,44.0
YDR226W,1,,15.0
YPL060W,4,1.0,67.0
YNL241C,1,20.0,183.0
YDR012W,2,17.0,106.0
YHR117W,12,4.0,13.0
YML061C,6,4.0,54.0
YKL207W,9,5.0,52.0
YLR154W-C,1,,
YDR456W,1,3.0,157.0
SPAC22H10.07,1,,
YNR048W,5,5.0,12.0
YLR193C,2,63.0,198.0
YLR168C,1,15.0,62.0
YKL053C-A,4,22.0,57.0
YKL084W,1,3.0,62.0
YBR296C,2,1.0,25.0
YOR391C,1,,21.0
YML005W,1,6.0,50.0
YDR383C,1,2.0,24.0
YAL028W,8,,6.0
YOR145C,6,,42.0
YMR100W,2,34.0,119.0
YKL184W,2,50.0,60.0
YNL026W,380,,
YBL031W,4,9.0,64.0
YNL070W,10,3.0,37.0
YDL135C,2,1.0,57.0
YKL016C,9,53.0,146.0
YDR253C,1,1.0,15.0
YPL265W,3,2.0,19.0
YJR145C,4,4.0,18.0
YPL145C,9,6.0,97.0
YER042W,2,3.0,83.0
ETG1459,3,,
YDR294C,1,15.0,73.0
YGL083W,6,3.0,3.0
YLR301W,3,1.0,77.0
YER175C,1,8.0,26.0
YKL091C,1,7.0,10.0
YBL011W,2,12.0,49.0
YCL047C,1,7.0,31.0
YDR257C,1,2.0,28.0
YBR096W,1,5.0,42.0
YJR138W,7,23.0,166.0
YOL138C,35,6.0,34.0
YBL104C,8,9.0,39.0
YOR239W,2,,
YBR283C,1,4.0,87.0
YOR060C,3,,
YCL056C,5,,3.0
SPBC1734.14c,4,,
YBR120C,3,2.0,59.0
Q0080,4,,
ETG112869,2,,
YNL305C,13,1.0,7.0
ETG6314,4,,
YLR414C,1,2.0,11.0
F25D7.1,2,,
CELE_R151.6,2,,
YBL054W,1,,3.0
YAR010C,1,,
YGR076C,3,3.0,39.0
YBR282W,3,67.0,204.0
YJR123W,6,,
YOL040C,661,10.0,124.0
YOL026C,4,,
YBR186W,9,,16.0
YOR176W,10,,
LSR1,1,,
YDR458C,11,2.0,8.0
ETG7157,2,,
YER083C,2,113.0,426.0
YPL234C,8,25.0,174.0
YMR287C,2,13.0,26.0
YCL057C-A,33,18.0,55.0
YFR011C,7,5.0,52.0
YNL100W,6,15.0,96.0
YGR235C,10,,4.0
YBR262C,12,39.0,121.0
ETG83506,1,,
ETG24666,1,,
YML054C,6,3.0,33.0
YGR049W,2,,10.0
YBR230C,26,3.0,21.0
ETG6613,1,,
YHR008C,1,,45.0
YNL231C,1,3.0,12.0
NME1,2,,
ETG100009298,1,,
ETG5515,1,,
RP11-131A5.1,3,,
YDR538W,1,6.0,20.0
YPL015C,3,,5.0
YNL199C,1,35.0,162.0
ETG983,4,,
YKR063C,64,7.0,150.0
YGL219C,23,49.0,172.0
YDR178W,5,7.0,34.0
YKL141W,5,14.0,17.0
YIL064W,2,12.0,34.0
YAL039C,1,9.0,65.0
YDL170W,1,6.0,18.0
YPL010W,4,4.0,76.0
YKL194C,1,,
YDR079W,2,2.0,44.0
YER058W,3,7.0,111.0
YGL209W,7,5.0,58.0
YNR018W,15,1.0,25.0
YGL191W,9,,28.0
YOL086W-A,5,,8.0
DDB_G0272825,4,,
YHR207C,2,8.0,15.0
YML030W,21,15.0,157.0
CELE_M05D6.5,9,,
YML021C,1,4.0,22.0
ETG55364,5,,
YFR053C,2,1.0,34.0
YOR336W,1,49.0,102.0
YAL058W,2,2.0,98.0
YGR143W,3,1.0,26.0
DADB-115L1.4,1,,
ETG51667,1,,
YIL136W,5,1.0,11.0
YKR017C,3,,
YHR162W,9,,17.0
YGL080W,6,3.0,38.0
YNL196C,1,3.0,41.0
YHR087W,10,3.0,45.0
ETG7428,2,,
YHR192W,6,7.0,38.0
BOS_7381,4,,
ETG6622,45,,
LA16c-358B7.1,2,,
AD-005,1,,
ETG4850,1,,
ETG7322,2,,
AT1G79650,1,,
AT2G17200,1,,
ETG29979,4,,
YFL042C,3,1.0,15.0
YLR422W,3,126.0,65.0
YDR312W,3,4.0,31.0
YKL163W,1,4.0,11.0
YER004W,1,5.0,39.0
YPR091C,1,5.0,26.0
YBR068C,5,5.0,28.0
YBR177C,2,2.0,6.0
YBR196C,10,4.0,46.0
YBR208C,1,2.0,7.0
YBR219C,1,,
YBR222C,1,,9.0
YBR290W,3,11.0,61.0
YCR011C,2,6.0,6.0
YCR024C-A,6,6.0,5.0
YCR044C,5,9.0,51.0
YCR075C,2,7.0,69.0
YDL091C,10,5.0,48.0
YDL128W,2,,
YDL206W,2,,20.0
YDL211C,1,5.0,36.0
YDL222C,1,1.0,30.0
YDL223C,3,1.0,11.0
YDR011W,5,2.0,32.0
YDR055W,3,4.0,24.0
YDR208W,5,33.0,168.0
YDR232W,1,10.0,153.0
YDR331W,8,67.0,276.0
YDR342C,5,7.0,6.0
YDR352W,4,3.0,43.0
YDR371W,1,5.0,47.0
YDR380W,3,2.0,14.0
YDR406W,5,2.0,9.0
YDR508C,14,7.0,82.0
YDR525W-A,1,3.0,12.0
YEL017C-A,2,1.0,11.0
YEL052W,1,1.0,30.0
YEL059C-A,1,77.0,143.0
YEL077C,3,,17.0
YER014W,1,,
YER053C,6,2.0,25.0
YER158C,2,2.0,13.0
YFL004W,7,2.0,13.0
YFR006W,2,6.0,71.0
YGL006W,3,,10.0
YGL012W,7,29.0,186.0
YGL027C,12,8.0,100.0
YGL085W,1,,3.0
YGL126W,3,11.0,78.0
YGR012W,7,8.0,73.0
YGR016W,2,7.0,97.0
YGR106C,6,2.0,7.0
YGR147C,2,4.0,8.0
YGR227W,2,9.0,58.0
YGR257C,2,2.0,18.0
YGR289C,1,1.0,64.0
YHL026C,1,1.0,7.0
YHL035C,1,,
YHR001W-A,12,10.0,20.0
YHR037W,1,3.0,37.0
YHR063C,7,3.0,22.0
YHR094C,4,6.0,39.0
YHR101C,2,20.0,152.0
YIL014W,4,,37.0
YIL077C,1,1.0,17.0
YIL145C,2,20.0,55.0
YIL154C,5,,
YIR024C,11,,27.0
YJL166W,2,63.0,210.0
YJL196C,4,8.0,22.0
YJL200C,1,,
YJL212C,7,5.0,8.0
YJR016C,1,14.0,90.0
YJR095W,3,3.0,12.0
YJR126C,1,,16.0
YKL046C,2,3.0,9.0
YKL064W,2,2.0,38.0
YKL077W,138,4.0,14.0
YKL087C,1,2.0,11.0
YKL120W,3,5.0,31.0
YKL134C,3,7.0,42.0
YKL182W,2,2.0,12.0
YKR018C,1,5.0,92.0
YKR019C,1,5.0,67.0
YKR105C,7,7.0,61.0
YLL012W,10,,15.0
YLL015W,2,1.0,14.0
YLL031C,1,134.0,356.0
YLL048C,3,,7.0
YLL058W,2,,15.0
YLR001C,2,,5.0
YLR004C,4,1.0,12.0
YLR064W,15,63.0,71.0
YLR066W,4,13.0,59.0
YLR084C,5,3.0,19.0
YLR104W,1,6.0,10.0
YLR110C,2,1.0,55.0
YLR134W,2,1.0,7.0
YLR142W,1,23.0,44.0
YLR241W,4,,5.0
YLR343W,5,6.0,22.0
YLR348C,2,7.0,65.0
YLR355C,2,8.0,60.0
YLR390W-A,1,6.0,33.0
YLR395C,12,10.0,17.0
YLR404W,8,6.0,50.0
YLR413W,5,2.0,10.0
YML002W,8,,9.0
YML022W,1,6.0,29.0
YML078W,1,,11.0
YML086C,1,22.0,59.0
YML104C,6,5.0,49.0
YML120C,5,1.0,8.0
YMR083W,1,12.0,33.0
YMR122W-A,2,3.0,29.0
YMR207C,6,20.0,84.0
YMR208W,2,5.0,64.0
YMR238W,6,6.0,59.0
YMR241W,1,9.0,23.0
YMR306W,2,1.0,9.0
YMR313C,1,8.0,7.0
YNL008C,7,4.0,44.0
YNL125C,3,3.0,33.0
YNL156C,1,3.0,22.0
YNL190W,1,2.0,58.0
YNL257C,4,1.0,47.0
YNL268W,4,,
YNL280C,1,72.0,251.0
YNL322C,1,54.0,170.0
YNR013C,7,54.0,89.0
YNR063W,1,2.0,15.0
YNR070W,5,3.0,15.0
YNR074C,2,5.0,22.0
YOL047C,2,2.0,30.0
YOL060C,6,1.0,25.0
YOL075C,6,,11.0
YOR021C,2,5.0,25.0
YOR045W,8,37.0,64.0
YOR147W,8,131.0,345.0
YOR163W,1,8.0,24.0
YOR241W,1,30.0,114.0
YOR245C,1,2.0,15.0
YOR246C,1,3.0,79.0
YOR256C,2,,15.0
YOR266W,1,1.0,41.0
YOR273C,1,1.0,20.0
YOR311C,5,36.0,208.0
YOR328W,3,4.0,38.0
YPL058C,4,2.0,22.0
YPL246C,2,,33.0
YPL271W,6,,
YPR097W,1,1.0,18.0
YPR128C,5,9.0,63.0
YPR138C,2,,
YPR139C,4,,1.0
YPR155C,5,2.0,10.0
YPR156C,5,,10.0
YPR183W,3,52.0,268.0
YPR198W,2,,22.0
ETG8454,3,,
YMR171C,1,2.0,9.0
YDL130W-A,7,1.0,38.0
YDR184C,2,3.0,42.0
YDR229W,3,,15.0
YDR332W,7,2.0,18.0
YDR464W,2,67.0,205.0
YER045C,10,1.0,13.0
YFL046W,10,,9.0
YGL029W,25,5.0,2.0
YGL079W,10,1.0,36.0
YGL143C,1,12.0,66.0
YGR059W,4,3.0,51.0
YGR145W,4,5.0,32.0
YHL009W-A,10,,
YHR011W,26,2.0,26.0
YHR078W,1,1.0,23.0
YHR110W,8,2.0,14.0
YHR159W,1,,28.0
YIL002W-A,4,3.0,41.0
YIL119C,1,2.0,20.0
YJL049W,34,2.0,38.0
YJR147W,25,5.0,54.0
YKL072W,4,3.0,10.0
YKL105C,2,17.0,91.0
YKL133C,2,1.0,7.0
YLR211C,6,,3.0
YLR454W,6,1.0,10.0
YMR053C,58,1.0,9.0
YOR337W,9,1.0,35.0
YOR344C,111,10.0,27.0
YPL216W,19,1.0,6.0
YPR117W,21,18.0,104.0
YPR199C,30,2.0,11.0
HIV1gp6,2,,
ETG10482,2,,
YOL073C,3,4.0,48.0
YCR010C,2,2.0,55.0
YDR384C,1,2.0,4.0
YOR030W,2,29.0,158.0
YMR063W,1,18.0,102.0
YIL114C,1,,
ETG6737,1,,
DAAP-218M18.2,1,,
YDL233W,2,7.0,49.0
YFL058W,1,4.0,16.0
YLR251W,4,,10.0
YBR038W,8,18.0,136.0
YBR138C,1,,12.0
YNL169C,1,89.0,388.0
ETG56438,1,,
YDL160C-A,9,,12.0
YLR243W,4,45.0,129.0
YOR154W,2,1.0,23.0
YER140W,1,,
YDR333C,61,,24.0
YLR445W,6,5.0,13.0
YNL301C,2,8.0,74.0
YNR009W,2,1.0,9.0
RP1-37E16.3,1,,
OK/SW-cl.85,1,,
YLR285W,7,3.0,5.0
NCU03539,2,,
RP11-8N6.1,1,,
ETG3842,1,,
YDR151C,2,1.0,19.0
YLR136C,3,1.0,33.0
ETG15507,1,,
ETG3315,1,,
ETG23130,1,,
YLR397C,5,13.0,142.0
ETG5058,1,,
ETG6242,1,,
YHL015W,594,3.0,45.0
YPL158C,7,113.0,189.0
ETG67177,1,,
YGR023W,1,1.0,9.0
ETG92345,1,,
ETG93973,4,,
ETG1967,2,,
ETG3552,7,,
YBR046C,1,5.0,9.0
YDR493W,2,22.0,32.0
YNL108C,1,1.0,27.0
RP11-554C12.1,3,,
ETG1869,2,,
C5_02650C_A,1,,
YHL013C,1,6.0,37.0
YIL031W,225,,
YIL083C,2,,45.0
YOL093W,6,4.0,17.0
ETG54778,2,,
ETG5530,1,,
YMR290C,165,2.0,60.0
YMR256C,4,6.0,77.0
YBL015W,1,8.0,87.0
ETG23327,1,,
YNL002C,299,7.0,64.0
SPAC57A7.08,1,,
YKL188C,6,5.0,27.0
YDR104C,1,,25.0
YKL180W,7,17.0,71.0
YBR031W,8,3.0,33.0
YCL051W,5,2.0,20.0
ETG51720,2,,
RP11-529H20.5,2,,
YOR016C,6,22.0,56.0
YGL002W,7,,15.0
YGL146C,2,2.0,24.0
YLR063W,1,1.0,6.0
ETG3064,2,,
ETG3921,1,,
RP5-832C2.2,1,,
DADB-127H9.2,1,,
YPL202C,3,1.0,21.0
ETG7415,1,,
YOR099W,1,2.0,20.0
YBR199W,3,,15.0
YDR291W,77,1193.0,1132.0
YKR077W,3,1.0,32.0
YOR104W,7,13.0,39.0
ETG1759,1,,
ETG51343,2,,
ETG24680,1,,
ETG9097,1,,
YHR035W,2,6.0,31.0
YDL104C,1,3.0,19.0
YJR129C,3,,13.0
YBR271W,1,,
YOR339C,1,3.0,19.0
YLR224W,4,24.0,69.0
YKL149C,1,17.0,73.0
YGR093W,3,17.0,18.0
YMR194W,2,7.0,66.0
YIL052C,2,2.0,40.0
YOR042W,8,7.0,16.0
ETG54472,1,,
ETG7334,2,,
ETG7324,2,,
PIG53,2,,
ETG5564,2,,
ETG5571,3,,
YHR051W,10,79.0,275.0
SB153,2,,
Q0120,1,,
b4034,1,,
YMR247C,78,3.0,15.0
ETG6905,2,,
SPAC20H4.10,2,,
DADB-70P7.10-021,1,,
ETG672,1,,
YAL038W,20,2.0,67.0
BOS_2150,2,,
ETG7321,1,,
ETG22213,1,,
ETG10987,1,,
ETG26754,1,,
snR30,1,,
YKR087C,1,,
YJL126W,1,17.0,12.0
CTD-2522E6.1,3,,
ETG55236,1,,
ETG496247,1,,
ETG380351,1,,
ETG9099,1,,
RP11-730A19.1,1,,
ETG7316,496,,
ETG54700,2,,
ETG7314,1,,
YOR126C,1,9.0,26.0
YLL007C,1,4.0,66.0
PF10_0311,1,,
YPL127C,4,3.0,39.0
YKL100C,2,,16.0
ETG64083,7,,
RP11-54A4.7,7,,
HSPC028,3,,
YCL026C-A,1,8.0,38.0
YNL163C,1,80.0,258.0
ETG3308,1,,
YER141W,5,1.0,37.0
YLR137W,2,1.0,8.0
ETG6337,1,,
YOR004W,7,4.0,27.0
YOR274W,5,6.0,52.0
ETG380481,2,,
Q0105,8,,
YDR529C,7,2.0,69.0
RP24-189I2.1,1,,
YOR293W,617,20.0,38.0
ETG571871,3,,
ETG3837,2,,
RP11-186N15.4,1,,
ETG6449,1,,
YDR064W,547,2.0,53.0
RP11-85G18.2,1,,
YOL063C,8,,22.0
YFR005C,2,33.0,182.0
ETG25636,1,,
YER109C,2,2.0,1.0
YCL058C,1,,
YGR255C,14,12.0,72.0
YLR290C,3,3.0,48.0
YPR172W,1,7.0,44.0
YBR035C,1,62.0,91.0
ETG22919,1,,
YKR070W,1,1.0,19.0
ETG4171,6,,
SPBC4.04c,6,,
ETG18747,1,,
SPAP27G11.03,1,,
YLL008W,11,10.0,106.0
YAL025C,6,14.0,105.0
YER002W,4,14.0,57.0
YBR121C,1,18.0,58.0
YMR244C-A,3,1.0,17.0
ETG5569,2,,
SPBC29A3.16,2,,
ETG57602,1,,
YER019W,3,27.0,82.0
YJL082W,1,1.0,29.0
YKL094W,1,,21.0
YOR011W,1,4.0,6.0
YDL022W,1,4.0,32.0
YGR243W,2,2.0,37.0
YML058W-A,3,,10.0
ETG4998,1,,
YDR379C-A,3,6.0,32.0
YDR511W,2,1.0,13.0
RP11-396C23.1,1,,
YKR076W,1,43.0,202.0
YLR095C,2,6.0,36.0
ETG5241,1,,
YLR250W,2,3.0,42.0
YPL252C,4,,
YBR255C-A,7,8.0,27.0
YDR223W,1,,9.0
YFL062W,1,,
YJR161C,1,8.0,57.0
YGR295C,1,1.0,45.0
ETG55898,1,,
YMR185W,7,,
YLL018C-A,1,,31.0
YIL040W,2,78.0,244.0
YLR271W,1,,12.0
YCR075W-A,4,7.0,51.0
YGL251C,14,,
YEL007W,1,22.0,94.0
YCL005W,1,25.0,124.0
YNR034W-A,7,2.0,7.0
YDR420W,2,2.0,31.0
YDR119W-A,8,,
YGR197C,1,26.0,145.0
YPL014W,1,3.0,11.0
YOR349W,3,6.0,127.0
YGR042W,3,,
AT1G03060,1,,
ETG8439,1,,
YNL291C,31,1.0,50.0
YGR168C,1,,27.0
RP4-697E16.3,4,,
YFR038W,1,2.0,18.0
CTA-216E10.8,1,,
YDR089W,3,4.0,40.0
YJL012C,2,2.0,22.0
YKR023W,3,2.0,23.0
ETG6647,1,,
YMR018W,3,4.0,67.0
YLR164W,1,3.0,25.0
YKR091W,3,,
YAR050W,1,,4.0
YBR269C,1,1.0,12.0
YBR227C,1,,34.0
ETG398099,1,,
ETG151194,2,,
C2_02250C_A,2,,
C1_00930C_A,1,,
YPR030W,3,6.0,51.0
ETG12747,1,,
RP3-357D13.2,1,,
ETG9212,1,,
YDR126W,1,17.0,138.0
ETG16210,1,,
YKL176C,3,7.0,69.0
YMR002W,2,3.0,20.0
YDR273W,1,,
ETG3674,1,,
ETG3690,1,,
YHR028C,2,7.0,46.0
YIL121W,1,1.0,25.0
YNL138W-A,4,3.0,30.0
C4_05760W_A,1,,
RP11-40A7.1,1,,
YNL074C,2,,7.0
YOR077W,2,3.0,57.0
RP1-199J3.1,1,,
YOR295W,5,32.0,70.0
YHR142W,1,18.0,113.0
YIL001W,3,,4.0
YGL107C,7,48.0,155.0
YHR139C,3,,4.0
YGL263W,1,1.0,8.0
YPR145W,2,,17.0
YNL146W,2,3.0,41.0
YDR197W,7,13.0,120.0
YBL102W,1,11.0,103.0
YFL051C,1,,7.0
YHR056C,2,,
YIL088C,1,4.0,26.0
YOL155C,2,,24.0
YJR152W,1,2.0,24.0
YOR307C,1,3.0,33.0
YDR319C,1,1.0,20.0
YKR085C,1,37.0,38.0
YIL110W,1,,
YGR287C,1,,5.0
YJR088C,2,9.0,66.0
YGR021W,1,4.0,45.0
YDR281C,1,,17.0
YGL148W,1,16.0,121.0
YPR149W,1,5.0,19.0
YDL037C,2,8.0,23.0
YCR007C,1,7.0,21.0
YBR213W,1,5.0,22.0
YDR134C,1,5.0,21.0
YLR118C,2,,18.0
YGR215W,1,16.0,58.0
YIL165C,1,1.0,15.0
YLR034C,1,,
YKL216W,1,1.0,25.0
YER119C,1,3.0,26.0
YGL147C,2,16.0,61.0
YHR045W,1,6.0,85.0
YMR184W,1,9.0,32.0
YCR106W,1,2.0,3.0
YOR251C,1,,15.0
YER183C,2,,3.0
YOL055C,1,8.0,35.0
YPL188W,2,,
YMR278W,1,1.0,27.0
YBR129C,1,,28.0
YGR276C,1,3.0,45.0
YHR003C,1,5.0,36.0
YML108W,1,10.0,76.0
YGL176C,1,1.0,9.0
YPR192W,1,,2.0
YCR026C,1,3.0,25.0
YBL076C,12,3.0,52.0
Q0275,7,,
YDR237W,3,,
snR14,1,,
YGRCTy1-2,14,,
YOR063W,10,35.0,126.0
YPR109W,4,9.0,92.0
YIR014W,4,,16.0
YJL156C,1,,
YJL105W,32,5.0,35.0
YOR228C,1,3.0,75.0
ETG5894,1,,
YGL101W,1,,8.0
YGL023C,5,9.0,96.0
YBR296C-A,1,2.0,11.0
YGR271W,4,3.0,54.0
YBR106W,129,5.0,20.0
YJL003W,10,6.0,65.0
RP1-302G2.1,1,,
ETG8089,1,,
YER104W,9,,5.0
YGL249W,18,9.0,23.0
YHR153C,17,,15.0
YGL084C,2,61.0,253.0
CR_06050W_A,1,,
C2_08790W_A,1,,
YNR020C,149,1.0,77.0
YPL099C,2,8.0,77.0
YLR363C,11,1.0,13.0
YKR051W,1,1.0,23.0
BOS_3356,1,,
YJL171C,2,5.0,13.0
YJR051W,1,2.0,57.0
ETG3725,1,,
YIR004W,2,3.0,34.0
YFR033C,1,,47.0
YPL262W,1,55.0,98.0
YOR354C,8,6.0,60.0
YJL172W,1,3.0,3.0
YHR040W,6,40.0,108.0
ETG7454,3,,
YJL131C,21,39.0,96.0
YIL048W,1,16.0,155.0
YBL010C,1,8.0,33.0
ETG1019,1,,
YLR038C,2,9.0,142.0
YFL061W,1,2.0,45.0
ETG5610,2,,
RP1-50O24.5,2,,
YOR262W,3,24.0,119.0
YAL008W,2,1.0,5.0
YIL087C,1,3.0,13.0
ETG388962,1,,
YER156C,69,7.0,70.0
ETG55689,1,,
ETG4300,1,,
YPR043W,3,1.0,23.0
YDL075W,544,,
YLR061W,2,7.0,35.0
YLR344W,591,10.0,24.0
YBR191W,2,,30.0
YBL092W,2,,
YBR084C-A,4,10.0,61.0
YKL006W,1,,
YPL143W,3,17.0,47.0
YDL082W,1,1.0,54.0
YOR006C,2,18.0,55.0
YGL103W,1,52.0,165.0
YLR185W,1,,28.0
ETG5578,1,,
YOL022C,1,2.0,51.0
SPBC26H8.06,1,,
YPL006W,1,36.0,148.0
YNL295W,3,2.0,18.0
YPR151C,1,1.0,22.0
b2820,1,,
ETG7074,2,,
ETG9578,2,,
ETG7536,1,,
RP4-635E18.2,1,,
C3_02970C_A,1,,
YIL027C,7,10.0,78.0
YMR217W,3,,
YKL085W,33,2.0,19.0
YLR068W,1,4.0,37.0
ETG55164,1,,
YNL275W,1,,15.0
YHL038C,3,9.0,44.0
YHR059W,6,,16.0
YKL003C,5,,
YPL118W,13,,8.0
YMR286W,8,,
YKL170W,8,18.0,32.0
YNL213C,6,25.0,119.0
YGL129C,9,,
YDR494W,2,9.0,146.0
YNR040W,3,1.0,13.0
YKL156W,609,5.0,35.0
YML024W,530,1.0,32.0
YDR471W,1,24.0,55.0
YIL102C-A,2,,
YOR152C,6,,12.0
YMR142C,2,,
YLR346C,2,2.0,39.0
YHR010W,1,,
YLR448W,1,5.0,59.0
YER074W,2,3.0,11.0
YLR029C,1,33.0,153.0
ETG27030,2,,
HIV1gp2,2,,
SPBC36B7.05c,2,,
ETG223082,1,,
ETG8078,1,,
YLR441C,572,7.0,43.0
YBL072C,569,9.0,17.0
YOR369C,649,,
YOL121C,578,36.0,100.0
YJL190C,568,5.0,28.0
YDR003W,1,1.0,11.0
YGL038C,6,,
YKL201C,7,3.0,19.0
YNL077W,566,1.0,18.0
ETG56254,1,,
ETG79829,1,,
YER032W,1,4.0,47.0
YCR069W,2,,
YPL098C,2,2.0,76.0
YOR087W,1,26.0,61.0
ETG2147,1,,
YDL061C,1,3.0,15.0
YKL121W,2,5.0,62.0
ETG84444,1,,
Dmel_CG1028,119,,
YDR414C,3,12.0,186.0
ETG55014,2,,
YMR302C,1,10.0,52.0
YDR040C,1,13.0,32.0
RP11-498N2.1,1,,
YLR053C,6,3.0,5.0
ETG100337618,1,,
YDL176W,7,1.0,13.0
ETG440275,2,,
YJL201W,1,,27.0
YDR421W,1,3.0,22.0
YFL021W,1,1.0,27.0
YDL138W,1,17.0,138.0
YJL079C,1,11.0,37.0
YDL069C,3,15.0,89.0
YLR087C,1,52.0,226.0
YCL035C,1,2.0,12.0
YLR035C-A,256,,
