Protein.genes.secondaryIdentifier	Protein.proteinHalfLife.units	Protein.proteinHalfLife.value	Protein.proteinHalfLife.publication.firstAuthor	Protein.proteinHalfLife.publication.year
YJL158C	hr	1.4	Christiano R	2014
YJL164C	hr	9.2	Christiano R	2014
YJL165C	hr	8.9	Christiano R	2014
YJL166W	hr	4.2	Christiano R	2014
YJL167W	hr	10.8	Christiano R	2014
YJL168C	hr	5.4	Christiano R	2014
YJL171C	hr	29.9	Christiano R	2014
YJL172W	hr	7.7	Christiano R	2014
YJL173C	hr	8.1	Christiano R	2014
YJL174W	hr	4.3	Christiano R	2014
YJL176C	hr	7.9	Christiano R	2014
YJL177W	hr	10.1	Christiano R	2014
YJL178C	hr	8.4	Christiano R	2014
YJL179W	hr	9.0	Christiano R	2014
YJL180C	hr	6.4	Christiano R	2014
YJL183W	hr	8.8	Christiano R	2014
YJL184W	hr	7.8	Christiano R	2014
YJL186W	hr	4.9	Christiano R	2014
YJL192C	hr	7.9	Christiano R	2014
YJL197W	hr	10.3	Christiano R	2014
YJL198W	hr	2.5	Christiano R	2014
YJL200C	hr	8.7	Christiano R	2014
YJL201W	hr	7.4	Christiano R	2014
YJL203W	hr	10.4	Christiano R	2014
YJL204C	hr	9.4	Christiano R	2014
YJL205C	hr	5.6	Christiano R	2014
YJL207C	hr	10.5	Christiano R	2014
YJL208C	hr	10.2	Christiano R	2014
YJL210W	hr	5.8	Christiano R	2014
YJL217W	hr	11.0	Christiano R	2014
YJL218W	hr	5.5	Christiano R	2014
YJR002W	hr	7.0	Christiano R	2014
YJR003C	hr	8.1	Christiano R	2014
YJR004C	hr	2.9	Christiano R	2014
YJR005W	hr	11.0	Christiano R	2014
YJR006W	hr	9.6	Christiano R	2014
YJR007W	hr	9.7	Christiano R	2014
YJR009C	hr	10000.0	Christiano R	2014
YJR010C-A	hr	7.6	Christiano R	2014
YJR011C	hr	6.3	Christiano R	2014
YJR014W	hr	9.4	Christiano R	2014
YJR015W	min	33.7	Christiano R	2014
YJR016C	hr	11.7	Christiano R	2014
YJR017C	hr	9.8	Christiano R	2014
YJR019C	hr	9.5	Christiano R	2014
YJR024C	hr	7.4	Christiano R	2014
YJR025C	hr	18.7	Christiano R	2014
YJR031C	hr	8.3	Christiano R	2014
YJR032W	hr	10.3	Christiano R	2014
YJR033C	hr	9.6	Christiano R	2014
YJR034W	hr	5.8	Christiano R	2014
YJR040W	hr	13.1	Christiano R	2014
YJR041C	hr	8.3	Christiano R	2014
YJR042W	hr	7.9	Christiano R	2014
YJR043C	hr	5.3	Christiano R	2014
YJR045C	hr	12.2	Christiano R	2014
YJR046W	hr	13.7	Christiano R	2014
YJR047C	hr	77.7	Christiano R	2014
YJR048W	hr	6.6	Christiano R	2014
YJR049C	hr	8.7	Christiano R	2014
YJR051W	hr	8.0	Christiano R	2014
YJR052W	hr	8.3	Christiano R	2014
YJR053W	hr	8.5	Christiano R	2014
YJR054W	hr	7.8	Christiano R	2014
YJR055W	hr	8.3	Christiano R	2014
YJR057W	hr	10.7	Christiano R	2014
YJR059W	hr	8.5	Christiano R	2014
YJR060W	hr	8.6	Christiano R	2014
YJR062C	hr	6.9	Christiano R	2014
YJR063W	hr	7.3	Christiano R	2014
YJR064W	hr	9.7	Christiano R	2014
YJR065C	hr	10.0	Christiano R	2014
YJR066W	hr	7.5	Christiano R	2014
YJR067C	hr	9.2	Christiano R	2014
YJR068W	hr	10.4	Christiano R	2014
YJR069C	hr	10.9	Christiano R	2014
YJR070C	hr	9.2	Christiano R	2014
YJR072C	hr	9.3	Christiano R	2014
YJR074W	hr	7.9	Christiano R	2014
YJR075W	hr	5.6	Christiano R	2014
YJR076C	hr	9.4	Christiano R	2014
YJR077C	hr	7.9	Christiano R	2014
YJR080C	hr	7.6	Christiano R	2014
YJR083C	hr	13.1	Christiano R	2014
YJR086W	hr	7.7	Christiano R	2014
YJR088C	hr	11.5	Christiano R	2014
YJR091C	hr	5.8	Christiano R	2014
YJR092W	min	58.2	Christiano R	2014
YJR093C	hr	8.3	Christiano R	2014
YJR096W	hr	9.4	Christiano R	2014
YJR098C	hr	9.4	Christiano R	2014
YJR099W	hr	13.5	Christiano R	2014
YJR100C	hr	8.4	Christiano R	2014
YJR101W	hr	10.0	Christiano R	2014
YJR103W	hr	10.0	Christiano R	2014
YJR104C	hr	6.2	Christiano R	2014
YJR105W	hr	8.1	Christiano R	2014
YJR109C	hr	21.2	Christiano R	2014
YJR112W	hr	4.6	Christiano R	2014
YJR113C	hr	6.1	Christiano R	2014
YJR117W	hr	13.1	Christiano R	2014
YJR121W	hr	8.5	Christiano R	2014
YJR122W	hr	6.1	Christiano R	2014
YJR123W	hr	10.7	Christiano R	2014
YJR124C	hr	7.1	Christiano R	2014
YJR125C	hr	7.7	Christiano R	2014
YJR127C	hr	2.5	Christiano R	2014
YJR129C	hr	4.9	Christiano R	2014
YJR131W	hr	8.7	Christiano R	2014
YJR132W	hr	14.0	Christiano R	2014
YJR133W	hr	7.6	Christiano R	2014
YJR134C	hr	12.8	Christiano R	2014
YJR135W-A	hr	5.4	Christiano R	2014
YJR137C	hr	10.3	Christiano R	2014
YJR138W	hr	7.7	Christiano R	2014
YJR139C	hr	11.7	Christiano R	2014
YJR140C	hr	4.1	Christiano R	2014
YJR141W	hr	8.2	Christiano R	2014
YJR142W	hr	12.7	Christiano R	2014
YJR143C	hr	9.9	Christiano R	2014
YJR144W	hr	11.3	Christiano R	2014
YJR147W	hr	4.6	Christiano R	2014
YJR148W	hr	18.3	Christiano R	2014
YJR149W	hr	6.8	Christiano R	2014
YKL001C	hr	10000.0	Christiano R	2014
YKL002W	hr	8.9	Christiano R	2014
YKL005C	hr	5.0	Christiano R	2014
YKL006C-A	hr	11.2	Christiano R	2014
YKL006W	hr	9.7	Christiano R	2014
YKL007W	hr	22.0	Christiano R	2014
YKL008C	hr	6.3	Christiano R	2014
YKL009W	hr	9.9	Christiano R	2014
YKL010C	hr	7.7	Christiano R	2014
YKL012W	hr	12.4	Christiano R	2014
YKL014C	hr	7.1	Christiano R	2014
YKL017C	hr	17.9	Christiano R	2014
YKL018C-A	hr	9.1	Christiano R	2014
YKL018W	hr	13.8	Christiano R	2014
YKL019W	hr	9.6	Christiano R	2014
YKL021C	hr	15.5	Christiano R	2014
YKL022C	hr	4.1	Christiano R	2014
YKL023W	hr	9.4	Christiano R	2014
YKL024C	hr	14.5	Christiano R	2014
YKL025C	hr	8.6	Christiano R	2014
YKL027W	hr	9.3	Christiano R	2014
YKL028W	hr	8.2	Christiano R	2014
YKL029C	hr	13.1	Christiano R	2014
YKL032C	hr	6.5	Christiano R	2014
YKL033W	hr	8.1	Christiano R	2014
YKL033W-A	hr	9.8	Christiano R	2014
YKL035W	hr	10.9	Christiano R	2014
YKL039W	hr	9.6	Christiano R	2014
YKL040C	hr	7.8	Christiano R	2014
YKL041W	hr	12.7	Christiano R	2014
YKL042W	hr	6.6	Christiano R	2014
YKL045W	hr	4.4	Christiano R	2014
YKL047W	hr	10.5	Christiano R	2014
YKL048C	hr	6.8	Christiano R	2014
YKL051W	hr	5.2	Christiano R	2014
YKL052C	hr	8.9	Christiano R	2014
YKL053C-A	hr	6.2	Christiano R	2014
YKL054C	hr	10.0	Christiano R	2014
YKL055C	hr	6.1	Christiano R	2014
YKL056C	hr	10.1	Christiano R	2014
YKL057C	hr	10.4	Christiano R	2014
YKL058W	hr	7.5	Christiano R	2014
YKL059C	hr	7.3	Christiano R	2014
YKL060C	hr	12.0	Christiano R	2014
YKL061W	hr	6.3	Christiano R	2014
YKL062W	hr	1.9	Christiano R	2014
YKL063C	hr	7.0	Christiano R	2014
YKL064W	hr	16.8	Christiano R	2014
YKL065C	hr	8.2	Christiano R	2014
YKL067W	hr	10.7	Christiano R	2014
YKL069W	hr	8.9	Christiano R	2014
YKL072W	hr	3.5	Christiano R	2014
YKL073W	hr	13.1	Christiano R	2014
YKL074C	hr	8.4	Christiano R	2014
YKL075C	hr	4.9	Christiano R	2014
YKL077W	hr	7.9	Christiano R	2014
YKL078W	hr	6.5	Christiano R	2014
YKL079W	hr	7.5	Christiano R	2014
YKL080W	hr	11.5	Christiano R	2014
YKL081W	hr	10.0	Christiano R	2014
YKL082C	hr	6.5	Christiano R	2014
YKL084W	hr	2.3	Christiano R	2014
YKL085W	hr	10.7	Christiano R	2014
YKL087C	hr	5.0	Christiano R	2014
YKL088W	hr	10.8	Christiano R	2014
YKL089W	hr	10000.0	Christiano R	2014
YKL090W	hr	11.6	Christiano R	2014
YKL091C	hr	9.8	Christiano R	2014
YKL092C	hr	9.0	Christiano R	2014
YKL094W	hr	11.6	Christiano R	2014
YKL095W	hr	3.8	Christiano R	2014
YKL096W	min	30.6	Christiano R	2014
YKL098W	hr	4.9	Christiano R	2014
YKL099C	hr	5.7	Christiano R	2014
YKL100C	hr	7.4	Christiano R	2014
YKL101W	min	58.2	Christiano R	2014
YKL103C	hr	16.6	Christiano R	2014
YKL104C	hr	13.1	Christiano R	2014
YKL105C	hr	6.1	Christiano R	2014
YKL106W	hr	9.8	Christiano R	2014
YKL110C	hr	12.0	Christiano R	2014
YKL112W	hr	6.4	Christiano R	2014
YKL113C	hr	8.8	Christiano R	2014
YKL114C	hr	9.1	Christiano R	2014
YKL116C	hr	13.5	Christiano R	2014
YKL117W	hr	9.9	Christiano R	2014
YKL119C	hr	4.4	Christiano R	2014
YKL120W	hr	34.8	Christiano R	2014
YKL121W	hr	6.5	Christiano R	2014
YKL122C	hr	7.9	Christiano R	2014
YKL124W	hr	64.8	Christiano R	2014
YKL125W	hr	1.7	Christiano R	2014
YKL126W	hr	8.3	Christiano R	2014
YKL127W	hr	9.7	Christiano R	2014
YKL128C	hr	18.8	Christiano R	2014
YKL129C	hr	14.1	Christiano R	2014
YKL130C	hr	21.5	Christiano R	2014
YKL134C	hr	6.5	Christiano R	2014
YKL135C	hr	12.6	Christiano R	2014
YKL137W	hr	1.6	Christiano R	2014
YKL138C	hr	5.6	Christiano R	2014
YKL139W	min	11.6	Christiano R	2014
YKL141W	hr	4.0	Christiano R	2014
YKL142W	hr	11.2	Christiano R	2014
YKL143W	hr	7.1	Christiano R	2014
YKL144C	hr	8.2	Christiano R	2014
YKL145W	hr	11.0	Christiano R	2014
YKL148C	hr	10.2	Christiano R	2014
YKL150W	hr	7.6	Christiano R	2014
YKL151C	hr	7.8	Christiano R	2014
YKL152C	hr	13.9	Christiano R	2014
YKL154W	hr	10.1	Christiano R	2014
YKL155C	hr	4.0	Christiano R	2014
YKL157W	hr	10.1	Christiano R	2014
YKL160W	hr	12.2	Christiano R	2014
YKL165C	hr	9.1	Christiano R	2014
YKL166C	hr	7.4	Christiano R	2014
YKL167C	hr	4.4	Christiano R	2014
YKL168C	hr	7.5	Christiano R	2014
YKL170W	hr	6.3	Christiano R	2014
YKL172W	hr	8.4	Christiano R	2014
YKL173W	hr	8.3	Christiano R	2014
YKL174C	hr	4.3	Christiano R	2014
YKL175W	hr	10000.0	Christiano R	2014
YKL176C	hr	4.7	Christiano R	2014
YKL178C	min	41.6	Christiano R	2014
YKL179C	hr	10.9	Christiano R	2014
YKL181W	hr	9.1	Christiano R	2014
YKL182W	hr	12.1	Christiano R	2014
YKL183W	hr	10000.0	Christiano R	2014
YKL184W	hr	2.0	Christiano R	2014
YKL185W	min	58.9	Christiano R	2014
YKL186C	hr	127.5	Christiano R	2014
YKL189W	hr	10.4	Christiano R	2014
YKL190W	hr	7.9	Christiano R	2014
YKL191W	hr	8.1	Christiano R	2014
YKL192C	hr	11.3	Christiano R	2014
YKL193C	hr	12.7	Christiano R	2014
YKL194C	hr	8.9	Christiano R	2014
YKL195W	hr	8.3	Christiano R	2014
YKL196C	hr	10.2	Christiano R	2014
YKL197C	hr	7.6	Christiano R	2014
YKL198C	hr	2.7	Christiano R	2014
YKL203C	hr	9.0	Christiano R	2014
YKL204W	hr	8.2	Christiano R	2014
YKL205W	hr	7.9	Christiano R	2014
YKL206C	hr	15.7	Christiano R	2014
YKL207W	hr	11.4	Christiano R	2014
YKL210W	hr	9.2	Christiano R	2014
YKL211C	hr	13.5	Christiano R	2014
YKL212W	hr	11.2	Christiano R	2014
YKL213C	hr	12.7	Christiano R	2014
YKL214C	hr	7.6	Christiano R	2014
YKL215C	hr	10.3	Christiano R	2014
YKL216W	hr	10.1	Christiano R	2014
YKL218C	hr	46.0	Christiano R	2014
YKL219W	hr	6.1	Christiano R	2014
YKR001C	hr	12.0	Christiano R	2014
YKR002W	hr	8.1	Christiano R	2014
YKR003W	hr	7.7	Christiano R	2014
YKR004C	hr	15.5	Christiano R	2014
YKR006C	hr	4.8	Christiano R	2014
YKR008W	hr	9.8	Christiano R	2014
YKR010C	hr	7.0	Christiano R	2014
YKR013W	min	27.3	Christiano R	2014
YKR014C	hr	6.8	Christiano R	2014
YKR016W	hr	7.9	Christiano R	2014
YKR018C	hr	9.0	Christiano R	2014
YKR019C	hr	5.4	Christiano R	2014
YKR020W	hr	5.0	Christiano R	2014
YKR021W	hr	4.4	Christiano R	2014
YKR023W	hr	10.7	Christiano R	2014
YKR024C	hr	8.0	Christiano R	2014
YKR025W	hr	6.6	Christiano R	2014
YKR026C	hr	13.0	Christiano R	2014
YKR027W	hr	11.1	Christiano R	2014
YKR028W	hr	8.6	Christiano R	2014
YKR029C	hr	6.0	Christiano R	2014
YKR031C	hr	6.5	Christiano R	2014
YKR035W-A	hr	7.7	Christiano R	2014
YKR036C	hr	7.2	Christiano R	2014
YKR037C	hr	92.6	Christiano R	2014
YKR038C	hr	12.0	Christiano R	2014
YKR042W	min	33.6	Christiano R	2014
YKR043C	hr	13.5	Christiano R	2014
YKR046C	hr	14.9	Christiano R	2014
YKR048C	hr	10.5	Christiano R	2014
YKR049C	hr	5.9	Christiano R	2014
YKR052C	hr	3.0	Christiano R	2014
YKR054C	hr	10.3	Christiano R	2014
YKR055W	hr	9.3	Christiano R	2014
YKR056W	hr	7.5	Christiano R	2014
YKR060W	hr	7.8	Christiano R	2014
YKR062W	hr	5.6	Christiano R	2014
YKR063C	hr	8.4	Christiano R	2014
YKR065C	hr	9.0	Christiano R	2014
YKR066C	hr	7.9	Christiano R	2014
YKR067W	hr	6.8	Christiano R	2014
YKR068C	hr	13.3	Christiano R	2014
YKR070W	hr	7.9	Christiano R	2014
YKR071C	hr	2.6	Christiano R	2014
YKR072C	hr	9.0	Christiano R	2014
YKR074W	hr	12.8	Christiano R	2014
YKR076W	hr	4.9	Christiano R	2014
YKR077W	hr	11.9	Christiano R	2014
YKR078W	hr	6.4	Christiano R	2014
YKR079C	hr	9.1	Christiano R	2014
YKR080W	hr	10.7	Christiano R	2014
YKR081C	hr	8.5	Christiano R	2014
YKR082W	hr	8.4	Christiano R	2014
YKR083C	hr	7.7	Christiano R	2014
YKR084C	hr	10.4	Christiano R	2014
YKR085C	hr	5.1	Christiano R	2014
YKR088C	hr	11.0	Christiano R	2014
YKR089C	hr	4.2	Christiano R	2014
YKR090W	hr	5.7	Christiano R	2014
YKR092C	hr	8.5	Christiano R	2014
YKR093W	hr	1.6	Christiano R	2014
YKR095W-A	hr	8.4	Christiano R	2014
YKR099W	hr	5.9	Christiano R	2014
YKR100C	hr	2.8	Christiano R	2014
YLL001W	hr	10.6	Christiano R	2014
YLL004W	hr	8.5	Christiano R	2014
YLL007C	hr	8.4	Christiano R	2014
YLL008W	hr	7.6	Christiano R	2014
YLL009C	hr	7.0	Christiano R	2014
YLL010C	hr	2.9	Christiano R	2014
YLL011W	hr	5.4	Christiano R	2014
YLL012W	hr	12.2	Christiano R	2014
YLL013C	hr	5.0	Christiano R	2014
YLL014W	hr	9.6	Christiano R	2014
YLL015W	hr	4.2	Christiano R	2014
YLL018C	hr	10.9	Christiano R	2014
YLL019C	hr	17.5	Christiano R	2014
YLL021W	hr	8.8	Christiano R	2014
YLL022C	hr	6.2	Christiano R	2014
YLL023C	hr	9.2	Christiano R	2014
YLL024C	hr	14.9	Christiano R	2014
YLL026W	hr	23.7	Christiano R	2014
YLL027W	hr	1.4	Christiano R	2014
YLL028W	hr	1.9	Christiano R	2014
YLL029W	hr	30.5	Christiano R	2014
YLL031C	hr	12.6	Christiano R	2014
YLL032C	hr	10.4	Christiano R	2014
YLL033W	hr	5.8	Christiano R	2014
YLL034C	hr	8.7	Christiano R	2014
YLL035W	hr	9.8	Christiano R	2014
YLL036C	hr	9.0	Christiano R	2014
YLL038C	hr	12.5	Christiano R	2014
YLL040C	hr	10.2	Christiano R	2014
YLL041C	hr	11.8	Christiano R	2014
YLL043W	hr	2.8	Christiano R	2014
YLL045C	hr	10.1	Christiano R	2014
YLL048C	hr	11.8	Christiano R	2014
YLL050C	hr	11.2	Christiano R	2014
YLL062C	hr	10.4	Christiano R	2014
YLR002C	hr	8.4	Christiano R	2014
YLR003C	hr	10.2	Christiano R	2014
YLR005W	hr	9.8	Christiano R	2014
YLR006C	hr	8.0	Christiano R	2014
YLR007W	hr	6.4	Christiano R	2014
YLR008C	hr	7.6	Christiano R	2014
YLR009W	hr	6.1	Christiano R	2014
YLR011W	hr	8.3	Christiano R	2014
YLR015W	hr	7.4	Christiano R	2014
YLR017W	hr	8.2	Christiano R	2014
YLR018C	hr	8.8	Christiano R	2014
YLR019W	hr	3.9	Christiano R	2014
YLR020C	hr	6.9	Christiano R	2014
YLR021W	hr	9.7	Christiano R	2014
YLR022C	hr	12.4	Christiano R	2014
YLR025W	hr	10.2	Christiano R	2014
YLR026C	hr	7.9	Christiano R	2014
YLR027C	hr	12.7	Christiano R	2014
YLR028C	hr	9.7	Christiano R	2014
YLR029C	hr	9.8	Christiano R	2014
YLR032W	hr	6.2	Christiano R	2014
YLR033W	hr	10.3	Christiano R	2014
YLR034C	hr	5.1	Christiano R	2014
YLR036C	hr	2.0	Christiano R	2014
YLR038C	hr	4.6	Christiano R	2014
YLR043C	hr	9.0	Christiano R	2014
YLR044C	hr	11.5	Christiano R	2014
YLR045C	hr	7.4	Christiano R	2014
YLR047C	hr	13.0	Christiano R	2014
YLR048W	hr	10000.0	Christiano R	2014
YLR050C	hr	5.6	Christiano R	2014
YLR051C	hr	6.7	Christiano R	2014
YLR052W	hr	7.9	Christiano R	2014
YLR055C	hr	9.1	Christiano R	2014
YLR056W	hr	2.1	Christiano R	2014
YLR058C	hr	8.5	Christiano R	2014
YLR059C	hr	10.2	Christiano R	2014
YLR060W	hr	11.1	Christiano R	2014
YLR061W	hr	11.0	Christiano R	2014
YLR063W	hr	7.6	Christiano R	2014
YLR065C	hr	16.2	Christiano R	2014
YLR066W	hr	11.7	Christiano R	2014
YLR068W	hr	5.6	Christiano R	2014
YLR069C	hr	8.8	Christiano R	2014
YLR071C	hr	11.6	Christiano R	2014
YLR072W	hr	6.1	Christiano R	2014
YLR074C	hr	2.6	Christiano R	2014
YLR075W	hr	8.8	Christiano R	2014
YLR077W	hr	8.8	Christiano R	2014
YLR078C	hr	8.6	Christiano R	2014
YLR079W	min	36.5	Christiano R	2014
YLR080W	hr	13.5	Christiano R	2014
YLR082C	hr	6.5	Christiano R	2014
YLR083C	hr	7.0	Christiano R	2014
YLR085C	hr	16.8	Christiano R	2014
YLR088W	hr	9.4	Christiano R	2014
YLR089C	hr	8.5	Christiano R	2014
YLR090W	hr	8.1	Christiano R	2014
YLR091W	hr	3.3	Christiano R	2014
YLR093C	hr	7.0	Christiano R	2014
YLR095C	hr	8.9	Christiano R	2014
YLR096W	hr	8.3	Christiano R	2014
YLR097C	hr	6.3	Christiano R	2014
YLR098C	hr	2.6	Christiano R	2014
YLR099C	hr	8.3	Christiano R	2014
YLR100W	hr	13.5	Christiano R	2014
YLR104W	hr	10.2	Christiano R	2014
YLR106C	hr	8.7	Christiano R	2014
YLR107W	hr	5.4	Christiano R	2014
YLR108C	hr	3.2	Christiano R	2014
YLR109W	hr	11.0	Christiano R	2014
YLR110C	min	10.0	Christiano R	2014
YLR113W	hr	10.8	Christiano R	2014
YLR114C	hr	8.3	Christiano R	2014
YLR115W	hr	10.2	Christiano R	2014
YLR116W	hr	7.7	Christiano R	2014
YLR117C	hr	4.3	Christiano R	2014
YLR118C	hr	10.4	Christiano R	2014
YLR119W	hr	12.7	Christiano R	2014
YLR120C	hr	10.8	Christiano R	2014
YLR126C	hr	10.3	Christiano R	2014
YLR128W	hr	9.3	Christiano R	2014
YLR129W	hr	9.4	Christiano R	2014
YLR130C	hr	2.2	Christiano R	2014
YLR131C	hr	3.4	Christiano R	2014
YLR133W	hr	10.8	Christiano R	2014
YLR134W	hr	10000.0	Christiano R	2014
YLR135W	hr	10000.0	Christiano R	2014
YLR139C	hr	6.1	Christiano R	2014
YLR143W	hr	10.0	Christiano R	2014
YLR144C	hr	8.0	Christiano R	2014
YLR146C	hr	8.9	Christiano R	2014
YLR147C	hr	10.0	Christiano R	2014
YLR148W	hr	8.8	Christiano R	2014
YLR150W	hr	9.3	Christiano R	2014
YLR151C	hr	9.7	Christiano R	2014
YLR153C	hr	8.7	Christiano R	2014
YLR163C	hr	5.4	Christiano R	2014
YLR166C	hr	7.6	Christiano R	2014
YLR167W	hr	3.0	Christiano R	2014
YLR170C	hr	35.9	Christiano R	2014
YLR172C	hr	9.7	Christiano R	2014
YLR173W	hr	11.6	Christiano R	2014
YLR175W	hr	7.4	Christiano R	2014
YLR176C	hr	6.2	Christiano R	2014
YLR178C	hr	10000.0	Christiano R	2014
YLR179C	hr	14.7	Christiano R	2014
YLR180W	hr	8.5	Christiano R	2014
YLR181C	hr	9.9	Christiano R	2014
YLR182W	hr	8.1	Christiano R	2014
YLR185W	hr	9.5	Christiano R	2014
YLR186W	hr	10.4	Christiano R	2014
YLR187W	hr	5.5	Christiano R	2014
YLR189C	hr	9.8	Christiano R	2014
YLR190W	min	33.7	Christiano R	2014
YLR191W	hr	3.4	Christiano R	2014
YLR192C	hr	9.3	Christiano R	2014
YLR195C	hr	11.4	Christiano R	2014
YLR196W	hr	8.8	Christiano R	2014
YLR197W	hr	8.4	Christiano R	2014
YLR199C	hr	11.3	Christiano R	2014
YLR200W	hr	11.7	Christiano R	2014
YLR201C	hr	9.3	Christiano R	2014
YLR203C	hr	7.4	Christiano R	2014
YLR206W	min	23.2	Christiano R	2014
YLR207W	hr	9.1	Christiano R	2014
YLR208W	hr	13.4	Christiano R	2014
YLR209C	hr	12.1	Christiano R	2014
YLR211C	hr	5.2	Christiano R	2014
YLR214W	hr	4.2	Christiano R	2014
YLR215C	hr	8.8	Christiano R	2014
YLR216C	hr	18.8	Christiano R	2014
YLR218C	hr	8.1	Christiano R	2014
YLR219W	hr	8.4	Christiano R	2014
YLR220W	hr	9.0	Christiano R	2014
YLR221C	hr	8.9	Christiano R	2014
YLR222C	hr	8.8	Christiano R	2014
YLR223C	min	38.8	Christiano R	2014
YLR225C	hr	10.5	Christiano R	2014
YLR226W	hr	8.8	Christiano R	2014
YLR229C	hr	7.9	Christiano R	2014
YLR231C	hr	13.1	Christiano R	2014
YLR233C	hr	9.8	Christiano R	2014
YLR237W	min	59.0	Christiano R	2014
YLR238W	hr	10.3	Christiano R	2014
YLR240W	hr	6.5	Christiano R	2014
YLR243W	hr	10.3	Christiano R	2014
YLR244C	hr	7.4	Christiano R	2014
YLR245C	hr	7.2	Christiano R	2014
YLR247C	hr	21.4	Christiano R	2014
YLR248W	hr	9.4	Christiano R	2014
YLR250W	hr	9.2	Christiano R	2014
YLR253W	hr	13.1	Christiano R	2014
YLR256W	hr	2.2	Christiano R	2014
YLR257W	hr	5.9	Christiano R	2014
YLR258W	hr	9.1	Christiano R	2014
YLR259C	hr	12.8	Christiano R	2014
YLR260W	hr	7.7	Christiano R	2014
YLR262C	hr	9.4	Christiano R	2014
YLR262C-A	hr	8.2	Christiano R	2014
YLR265C	hr	4.2	Christiano R	2014
YLR268W	hr	10.0	Christiano R	2014
YLR270W	hr	11.1	Christiano R	2014
YLR271W	hr	5.2	Christiano R	2014
YLR272C	hr	6.3	Christiano R	2014
YLR274W	hr	7.9	Christiano R	2014
YLR275W	hr	10.7	Christiano R	2014
YLR276C	hr	7.8	Christiano R	2014
YLR277C	hr	7.7	Christiano R	2014
YLR278C	hr	3.9	Christiano R	2014
YLR284C	hr	8.3	Christiano R	2014
YLR285W	hr	10.6	Christiano R	2014
YLR286C	hr	1.4	Christiano R	2014
YLR287C	hr	10.5	Christiano R	2014
YLR289W	hr	3.5	Christiano R	2014
YLR290C	hr	10.7	Christiano R	2014
YLR291C	hr	10.1	Christiano R	2014
YLR292C	hr	10.0	Christiano R	2014
YLR293C	hr	10.6	Christiano R	2014
YLR295C	hr	5.1	Christiano R	2014
YLR298C	hr	10.5	Christiano R	2014
YLR299W	hr	5.0	Christiano R	2014
YLR300W	hr	1.5	Christiano R	2014
YLR301W	hr	10.4	Christiano R	2014
YLR303W	hr	34.6	Christiano R	2014
YLR304C	hr	18.1	Christiano R	2014
YLR305C	hr	8.4	Christiano R	2014
YLR306W	hr	9.6	Christiano R	2014
YLR309C	hr	7.5	Christiano R	2014
YLR310C	hr	6.7	Christiano R	2014
YLR312W-A	hr	8.4	Christiano R	2014
YLR314C	hr	10.1	Christiano R	2014
YLR316C	hr	6.7	Christiano R	2014
YLR319C	hr	8.6	Christiano R	2014
YLR321C	hr	10.5	Christiano R	2014
YLR323C	hr	5.6	Christiano R	2014
YLR324W	hr	8.9	Christiano R	2014
YLR325C	hr	9.1	Christiano R	2014
YLR326W	hr	8.5	Christiano R	2014
YLR327C	min	40.1	Christiano R	2014
YLR328W	hr	10.5	Christiano R	2014
YLR330W	hr	9.3	Christiano R	2014
YLR332W	hr	19.7	Christiano R	2014
YLR333C	hr	9.6	Christiano R	2014
YLR335W	hr	12.0	Christiano R	2014
YLR336C	hr	5.6	Christiano R	2014
YLR337C	hr	8.9	Christiano R	2014
YLR340W	hr	10.3	Christiano R	2014
YLR344W	hr	10000.0	Christiano R	2014
YLR345W	hr	10.1	Christiano R	2014
YLR347C	hr	9.8	Christiano R	2014
YLR348C	hr	7.3	Christiano R	2014
YLR350W	hr	3.7	Christiano R	2014
YLR351C	hr	12.2	Christiano R	2014
YLR354C	hr	20.3	Christiano R	2014
YLR355C	hr	12.0	Christiano R	2014
YLR356W	hr	8.4	Christiano R	2014
YLR357W	hr	11.4	Christiano R	2014
YLR359W	hr	8.0	Christiano R	2014
YLR360W	hr	7.9	Christiano R	2014
YLR361C	hr	8.3	Christiano R	2014
YLR361C-A	hr	10.0	Christiano R	2014
YLR362W	hr	7.4	Christiano R	2014
YLR363C	hr	6.2	Christiano R	2014
YLR363W-A	hr	3.7	Christiano R	2014
YLR364W	hr	13.0	Christiano R	2014
YLR369W	hr	10.1	Christiano R	2014
YLR370C	hr	20.0	Christiano R	2014
YLR372W	hr	8.7	Christiano R	2014
YLR373C	hr	11.4	Christiano R	2014
YLR375W	hr	3.9	Christiano R	2014
YLR378C	hr	19.1	Christiano R	2014
YLR380W	hr	14.2	Christiano R	2014
YLR382C	hr	6.5	Christiano R	2014
YLR383W	hr	5.8	Christiano R	2014
YLR384C	hr	9.3	Christiano R	2014
YLR385C	hr	10.9	Christiano R	2014
YLR386W	hr	10.3	Christiano R	2014
YLR387C	hr	6.3	Christiano R	2014
YLR388W	hr	8.8	Christiano R	2014
YLR389C	hr	10.8	Christiano R	2014
YLR390W	hr	10.4	Christiano R	2014
YLR390W-A	hr	2.2	Christiano R	2014
YLR392C	hr	3.4	Christiano R	2014
YLR393W	hr	6.8	Christiano R	2014
YLR395C	hr	3.9	Christiano R	2014
YLR396C	hr	13.1	Christiano R	2014
YLR397C	hr	9.8	Christiano R	2014
YLR398C	hr	9.4	Christiano R	2014
YLR399C	hr	11.2	Christiano R	2014
YLR401C	hr	8.9	Christiano R	2014
