,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
84,gs_ind_0,mating_projection_morphology,16/71,0.8838904662456173,0.950628499084633,0.8182665134623148,0.10099219680401234,STE4;BUD6;RSR1;BUD4;FAR1;TUB2;MYO2;GIC1;ASG7;MKK2;UBI4;CDC24;GIC2;FIG1;DBF2;ISW2
85,gs_ind_0,mating_response,29/80,0.06795219001259166,0.3938857754821284,1.3104931185395237,3.5238516625165617,CDC25;RAD51;IME1;UBI4;KEX2;CYR1;RLM1;GSC2;ASG7;CLN2;RAS1;PKC1;RLF2;RIM101;STE4;AKR1;RSR1;AGA2;HHF2;CDC24;SUM1;YCK1;FAR1;CLA4;MKK2;PTP3;SIR3;MSN2;CRZ1
86,gs_ind_0,mating_type_switching,35/100,0.07711060458181072,0.3938857754821284,1.2636183575766107,3.2380403190960685,HHT2;CAR1;SRB7;RAD51;PIF1;KAR4;CTS1;UBI4;NPL6;PDE2;HTA1;DPB11;DSE1;ASG7;SGS1;PIR1;SWI6;RAD55;RIM101;RAD54;AKR1;HTA2;RSC2;PCL1;NIS1;RSC1;SWI1;FIG1;LOC1;PMS1;RAD5;THR4;TEF2;SIR3;MSN2
87,gs_ind_0,meiosis,39/93,0.00263158406965463,0.0628329454041812,1.5186659832774962,9.021133060316375,HHT2;CDC15;CIK1;RAD51;IME1;CLB1;PDS5;SMC6;SLI15;UBI4;NAM8;CSM3;SMC3;HTA1;NDT80;CLB3;IME2;TOP3;MSH2;SGS1;DBF2;ESP1;RAD54;RAD61;HTA2;GMC2;CLB2;SRS2;STU2;SPO22;SUM1;SPO71;PCH2;NET1;CIN8;RTS1;RRP6;REC8;SLK19
88,gs_ind_0,meiotic_recombination,32/85,0.03437914120787804,0.3267559470972068,1.3611141008622443,4.587370011894261,HHT2;RAD51;IME1;CLB1;TOP2;PDS5;UBI4;NAM8;BIK1;CLB6;RAD2;SMC3;MSH2;NDT80;IME2;TOP3;SGS1;RAD55;ESP1;XRN1;RAD61;RAD54;SRS2;SPO22;SUM1;PCH2;REC102;PMS1;BAS1;REC8;ZIP2;SIR3
89,gs_ind_0,metabolism_and_growth,22/86,0.7376949517942931,0.8690652856754687,0.9236478326630633,0.2809966550112797,HHT2;TRX2;MPT5;POR1;FTR1;UBI4;LEU3;VPH1;SER3;WHI5;POR2;YMC2;SWI6;RIM101;FET3;RCF1;YDJ1;ATG8;PSA1;RRP6;TDP1;MSN2
90,gs_ind_0,metal_resistance,23/74,0.3232760704375064,0.654158636650013,1.1240697899380632,1.2693542518511836,HHT2;EFT1;SEC1;PMA1;SOD2;PHO84;ZAP1;QDR2;ITT1;SUB1;PHO4;IZH2;RIM101;PMC1;VAM7;SAM3;YAH1;EFT2;TDH3;SSQ1;SNF3;MSN2;INO1
91,gs_ind_0,mitochondrial_distribution,39/140,0.5590809842562775,0.7901504789858033,0.9997716330142539,0.5813281563913941,VAM3;FUM1;GRX1;PIF1;ZWF1;TSA1;POR1;RAD23;SOD2;UBI4;PHO84;YME1;TOM70;AIM23;MYO2;PHO4;YPT32;CIT2;PEX11;GUP1;OXA1;LOS1;SDH1;FZO1;VAC8;PMC1;TUB2;TOM40;MOD5;ATG8;ACS2;GUS1;HYR1;MMT2;BRE5;VMA1;YAH1;FAS2;PHO87
92,gs_ind_0,mitochondrial_genome_maintenance,44/126,0.054069929423564166,0.3938857754821284,1.2602132526166792,3.6766432815153784,GGC1;MGM101;HSP60;YIP4;RAD51;APN1;EXO5;ISA1;TOP1;PIF1;SUV3;SOD2;DEF1;MCM3;MCM2;MAK11;PCP1;ARG80;YME1;PSD1;UTR1;MSH2;YAK1;MRH4;SGS1;YEF1;OXA1;SWI6;RIM101;CAT5;STE4;FET3;HMG2;ZIM17;AFT2;SOP4;YCK1;NET1;HMG1;HSP78;EST2;ADH1;HOM3;MSN2
93,gs_ind_0,mitochondrial_morphology,24/79,0.36566058638476157,0.6558088190509557,1.097838226011311,1.10447985684469,PKH1;POR1;UBI4;SOD2;YME1;TOM70;ERG12;NDT80;IME2;GUP1;FZO1;SSA1;TOM40;RCF1;YDJ1;ATG8;MAS2;GIS2;HYR1;TAM41;ATG11;YAH1;FAS2;OM45
